Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF/250V,C_Disc_D10.5mm_W5.0mm_P7.50mm,150.8506,-90.4494,180.0,top
C10,1nF,C_0603_1608Metric,105.2068,-135.9662,0.0,top
C11,10uF/16V,CP_EIA-3216-10_Kemet-I,158.623,-137.414,180.0,top
C12,1nF,C_0603_1608Metric,110.3894,-131.5155,180.0,top
C13,1nF,C_0603_1608Metric,110.363,-126.4458,180.0,top
C14,220uF/10V,CP_Elec_6.3x7.7,119.6594,-127.9398,90.0,top
C15,10nF/250V,C_Disc_D7.5mm_W5.0mm_P7.50mm,120.142,-90.424,0.0,top
C2,100nF,C_0603_1608Metric,98.298,-119.38,0.0,top
C3,220uF/16V,CP_Elec_6.3x7.7,135.255,-128.016,90.0,top
C4,100nF,C_0603_1608Metric,76.9365,-138.7602,0.0,top
C5,10uF/16V,CP_EIA-3216-10_Kemet-I,77.47,-136.8298,180.0,top
C6,100nF,C_0603_1608Metric,101.3968,-128.7272,0.0,top
C7,1nF,C_0603_1608Metric,101.2068,-135.9916,0.0,top
C8,220uF/10V,CP_Elec_6.3x7.7,127.381,-128.016,90.0,top
C9,330pF,C_0603_1608Metric,115.443,-120.142,180.0,top
D1,LED,LED_0805_2012Metric,89.2756,-112.7544,0.0,top
D2,MB6S,TO-269AA,140.462,-110.236,0.0,top
D3,LED,LED_0805_2012Metric,139.7795,-133.731,0.0,top
D4,SS13,D_SMA,113.284,-117.475,180.0,top
D5,SS34,D_SMA,89.916,-80.645,-90.0,top
D6,SS34,D_SMA,89.916,-96.774,-90.0,top
F1,1A/250V,Fuseholder_Clip-5x20mm_Littelfuse_445-030_Inline_P20.50x5.20mm_D1.30mm_Horizontal,162.306,-87.122,-90.0,top
F2,0.5A/12V,Fuse_0805_2012Metric,142.113,-125.349,180.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,90.678,-140.465,0.0,top
J2,Screw_Terminal_01x07,TerminalBlock_MaiXu_MX126-5.0-07P_1x07_P5.00mm,137.367,-79.502,180.0,top
J3,Conn_01x04,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,78.788,-110.363,0.0,top
J4,Conn_01x04,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,105.0262,-141.859,0.0,top
J5,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,121.158,-141.879,0.0,top
J6,Conn_01x07_Socket,PinHeader_1x07_P2.54mm_Vertical,152.146,-142.113,-90.0,top
K1,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,100.581,-84.734,0.0,top
K2,SANYOU_SRD_Form_C,Relay_SPDT_SANYOU_SRD_Series_Form_C,100.581,-100.736,0.0,top
L1,10uH,L_0603_1608Metric,76.9366,-140.3604,180.0,top
L2,47uH,L_Changjiang_FXL0624,121.666,-112.776,0.0,top
PS1,HLK-PM01,CONV_HLK-PM01,156.591,-117.888,-90.0,top
Q1,BT138-800,TO-220-3_Vertical,135.829,-97.409,-90.0,top
Q2,MMBT3904,SOT-23,85.344,-86.4362,270.0,top
Q3,MMBT3904,SOT-23,85.471,-102.616,270.0,top
R1,1K,R_0603_1608Metric,89.3572,-110.8964,180.0,top
R10,680,R_0603_1608Metric,105.2068,-137.4902,180.0,top
R11,0R33,R_0603_1608Metric,127.254,-119.253,0.0,top
R12,4K7,R_0603_1608Metric,113.475,-133.1919,180.0,top
R13,10K,R_0603_1608Metric,110.3762,-133.1665,180.0,top
R14,1K,R_0603_1608Metric,143.32,-133.731,0.0,top
R15,10K,R_0603_1608Metric,133.858,-136.906,0.0,top
R16,4K7,R_0603_1608Metric,113.6518,-128.0922,180.0,top
R17,10K,R_0603_1608Metric,110.363,-128.1222,180.0,top
R18,20K,R_0603_1608Metric,115.443,-123.19,180.0,top
R19,10K,R_0603_1608Metric,115.443,-121.666,0.0,top
R2,51K,R_0603_1608Metric,140.97,-104.521,0.0,top
